Name,Prompt URL,Description,Prompt Tags,Type,Created time
Agility Story,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/agility_story.md,"Analyze user stories and acceptance criteria for Agile framework topics, providing detailed information in JSON format. Write user stories and acceptance criteria based on the given topic, following specific output instructions.","Coding, Product Manager, Software",text,"January 6, 2025 8:01 AM"
Answer Question,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/ai.md,"Interpret questions deeply and answer insightfully in concise Markdown bullet points, focusing on clarity and brevity. Create mental models to fully understand and respond to queries effectively.","Analyze Text, Brainstorm, Content Creation",text,"January 6, 2025 8:01 AM"
Analyze Answers,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_answers.md,"Analyze answers to evaluate their correctness, adapting the evaluation to the student level.","Analyze Text, Feedback",text,"January 6, 2025 8:01 AM"
Analyze Claims,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_claims.md,"Analyze claims by identifying biases, inconsistencies, and logical fallacies in the provided text. Provide a detailed breakdown of the arguments, including evidence and reasoning used to support or refute the claims.","Analyze Text, Debate",text,"January 6, 2025 8:01 AM"
Analyze Debate,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_debate.md,"Evaluate debates by mapping claims, analyzing arguments neutrally, and scoring their insightfulness and emotionality. Provide a detailed breakdown of participants' arguments, agreements, disagreements, misunderstandings, learnings, and actionable takeaways.","Analyze Text, Debate, Psychology",text,"January 6, 2025 8:01 AM"
Analyze Ikigai,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_ikigai.md,Analyze the concept of ikigai by identifying its core elements and evaluating its relevance in modern life. Extract key findings and insights into how ikigai can be applied to achieve personal fulfillment and purpose.,"Motivation, Philosophy, Self-Improvement",text,"January 6, 2025 8:01 AM"
Analyze Incident,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_incident.md,"Extract key details from cybersecurity incident articles, focusing on concise, organized data about attack dates, types, and impacted entities. Include specific information on attackers, vulnerabilities, and remediation steps, prioritizing direct use of the article's content.","Analyze Text, Cybersecurity, Data Extraction",text,"January 6, 2025 8:01 AM"
Analyze Logs,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_logs.md,"Analyze logs to identify patterns and anomalies, ensuring server reliability and performance by thoroughly examining log entries and providing data-driven insights. Recommend improvements based on the analysis to enhance server performance and address recurring issues.","Cybersecurity, Data Science",text,"January 6, 2025 8:01 AM"
Analyze Malware,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_malware.md,"Analyze malware to understand its functionality and potential impact on various platforms, including Windows, macOS, Linux, and Android. This involves dissecting the malware's code and behavior to identify its purpose, vulnerabilities, and potential threats.","Cybersecurity, Data Science, Technology",text,"January 6, 2025 8:01 AM"
Analyze Paper,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_paper.md,"Analyze the primary findings and scientific rigor of a research paper, summarizing its conclusions, author details, and study characteristics. Evaluate the study's quality, design, transparency, reproducibility, and potential conflicts of interest, providing ratings and a final grade based on these factors.","Analyze Text, Research, Summary",text,"January 6, 2025 8:01 AM"
Analyze Patent,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_patent.md,"Analyze patent documents by extracting key findings, evaluating scientific rigor, and assessing novelty, rigor, and empiricism. Output includes a summary, author information, primary findings, study details, and an evaluation of study quality, researcher interpretation, and paper quality ratings.","Data Extraction, Data Science, Summary",text,"January 6, 2025 8:01 AM"
Analyze Personality,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_personality.md,"Analyze the personality of the main person in the input by identifying them, contemplating their language and responses, and comparing them to human psychology. Provide a 25-word summary and 5-10 detailed bullet points supporting the analysis.","Analyze Text, Psychology, Summary",text,"January 6, 2025 8:01 AM"
Analyze Presentation,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_presentation.md,"Analyze the presentation by deeply consuming its content, comparing it to the actual message, and identifying instances of self-references, entertainment, and novel ideas. Score the presentation based on its focus on ideas, selflessness, and entertainment, and provide a summary of the analysis.","Analyze Text, Presentation, Summary",text,"January 6, 2025 8:01 AM"
Analyze Prose,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_prose.md,"Evaluate the quality of writing based on novelty, clarity, and prose, providing specific ratings and improvement recommendations for each. Use a step-by-step approach to assess how new, clear, and distinctive the content is, ultimately assigning an overall rating that reflects the lowest individual score.","Analyze Text, Proofreading, Writing",text,"January 6, 2025 8:01 AM"
Analyze Prose JSON,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_prose_json.md,"Analyze prose text by identifying its key elements, such as themes, tone, and structure, and convert this analysis into a structured JSON format for easier manipulation and interpretation. Ensure the output is clear, organized, and machine-readable to support further data processing or visualization tasks.","Analyze Text, Data Science",text,"January 6, 2025 8:01 AM"
Analyze Prose Pinker,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_prose_pinker.md,"Analyze prose from Pinker's book, focusing on key arguments and literary style. Extract and summarize the main points in a clear and concise manner.","Analyze Text, Books, Summary",text,"January 6, 2025 8:01 AM"
Analyze Resume vs Role,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_resume_vs_role.md,"Analyze resume keywords and phrases to optimize them for a specific job role and industry by identifying key qualifications, researching industry-specific keywords, and suggesting impactful keywords to enhance the resume's alignment with the role and industry. The analysis includes a detailed breakdown of the resume's strengths and gaps, along with the rationale behind the recommended keywords.","Career Advice, Job Search, Resume",text,"January 6, 2025 8:01 AM"
Analyze Spiritual Text,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_spiritual_text.md,"Analyze spiritual text by deeply consuming the content, identifying primary themes, and evaluating the speaker's underlying psychology. Output a detailed breakdown of the text's focus on ideas, selflessness, and entertainment, along with a scoring system and bullet points summarizing key instances.","Analyze Text, Philosophy, Psychology",text,"January 6, 2025 8:01 AM"
Analyze Taking Course,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_taking_course.md,"Reflect on your motivations for taking a course and identify specific learning goals to enhance personal growth. Evaluate the course’s structure, content, and teaching methods to ensure alignment with your educational needs and preferences.","Courses, Self-Improvement",text,"January 6, 2025 8:01 AM"
Analyze Tech Impact,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_tech_impact.md,"Analyze the societal impact of technology projects by summarizing objectives, technologies used, target audience, outcomes, societal impacts, ethical considerations, and sustainability, concluding with a summary rating of societal benefit and sustainability. Output the analysis in structured Markdown without formatting.","Ethics, Product Manager, Technology",text,"January 6, 2025 8:01 AM"
Analyze Threat Report,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_threat_report.md,Analyze threat reports to identify potential security risks and vulnerabilities. Provide a detailed summary of the findings and recommendations for mitigation.,"Cybersecurity, Summary",text,"January 6, 2025 8:01 AM"
Analyze Threat Report Trends,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/analyze_threat_report_trends.md,Analyze threat report trends to identify emerging cybersecurity threats and understand their impact on global security. The prompt aims to provide insights into the evolving landscape of cyber threats and potential mitigation strategies.,"Cybersecurity, Data Science, Research",text,"January 6, 2025 8:01 AM"
Answer Interview Question,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/answer_interview_question.md,"Analyze interview questions for a specific role to identify the 10 most challenging questions and provide detailed optimal answers, along with follow-up questions. Additionally, list 20 more likely interview questions and summarize general tips for interviewing for the role.","Career Advice, Job Interview, Resume",text,"January 6, 2025 8:01 AM"
Ask Secure By Design Questions,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/ask_secure_by_design_questions.md,Analyze the design of secure systems to identify potential vulnerabilities and suggest improvements. Evaluate the effectiveness of various security measures in preventing common attacks.,"Cybersecurity, Data Science, Technology",text,"January 6, 2025 8:01 AM"
Brainstorm Ideas Customer Pain,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/brainstorm_ideas_customer_pain.md,"Analyze the top 20 pain points of a target audience and generate 5 actionable problem-solving content ideas for each pain point, ensuring the ideas are specific, practical, and directly address the identified issues.","Analyze Text, Content Creation, Marketing",text,"January 6, 2025 8:01 AM"
Brainstorm Ideas Recent Experiences,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/brainstorm_ideas_recent_experiences.md,"Analyze recent life experiences by asking 8 questions to users, generating 20 content topics, and converting them into engaging video script hooks. The process involves interviewing users, generating topics based on their responses, and crafting unique headlines for TikTok or YouTube videos.","Content Creation, Social Media, Video Script",text,"January 6, 2025 8:01 AM"
Brainstorm Interview Questions,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/brainstorm_interview_questions.md,"Analyze the input role to identify the 10 most difficult interview questions a candidate is likely to encounter, and provide detailed optimal answers along with follow-up questions. Output a table with columns for challenging question, optimal answer, explanation for optimal answer, and follow-up question, ensuring each answer is at least 5 sentences long and reflects the optimal response for the interview question.","Career Advice, Job Interview, Resume",text,"January 6, 2025 8:01 AM"
Brainstorm Job Search Plan,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/brainstorm_job_search_plan.md,"The prompt is designed to help users generate writing topics based on their recent life experiences by asking specific questions, generating topics, and converting them into engaging video script hooks. It outlines a structured process involving an interview, topic generation, and headline creation to create compelling content pieces.","Content Creation, Video Script, Writing",text,"January 6, 2025 8:01 AM"
Brainstorm Salary Negotiation,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/brainstorm_salary_negotiation.md,"The prompt is designed to help a candidate prepare for a salary negotiation by providing a detailed step-by-step plan, including market research, a detailed negotiation strategy, and key points to make during the negotiation process, all tailored to the specific job offer details and expected salary. The goal is to make the candidate feel confident and well-prepared to negotiate for a higher salary without jeopardizing the original job offer.","Career Advice, Job Interview, Negotiation",text,"January 6, 2025 8:01 AM"
Capture Thinkers Work,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/capture_thinkers_work.md,"The prompt aims to capture the essence of thinkers' work by analyzing their writings and identifying key concepts, themes, and ideas. It seeks to understand the underlying thoughts and contributions of influential thinkers across various fields.","Analyze Text, Philosophy, Research",text,"January 6, 2025 8:01 AM"
Check Agreement,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/check_agreement.md,"Analyze contracts and agreements to identify gotchas and summarize the content in Markdown format. The output includes a document summary, callouts, and responses to critical and important issues.","Data Extraction, Legal, Summary",text,"January 6, 2025 8:01 AM"
Clean Text,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/clean_text.md,"Clean and format text by removing strange line breaks, adding capitalization, punctuation, line breaks, paragraphs, and other necessary formatting without changing any content or spelling. Output the full, properly-formatted text without warnings or notes.","Analyze Text, Data Cleaning, Proofreading",text,"January 6, 2025 8:01 AM"
Coding Master,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/coding_master.md,"Teach coding concepts to beginners using examples from reputable sources, focusing on clarity and simplicity. Format outputs in Markdown, ensuring each bullet point in different sections is exactly 15 words and extract a specific number of items for each section without repeating content.","Coding, Content Creation",text,"January 6, 2025 8:01 AM"
Compare And Contrast,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/compare_and_contrast.md,Compare and contrast the list of items. Outputs answer in Markdown table.,"Analyze Text, Content Creation, Data",text,"January 6, 2025 8:01 AM"
Create 5 Sentence Summary,https://github.com/Steeve-Bennett-aka-MChoquette/prompts/blob/main/create_5_sentence_summary.md,"Summarize or answer input at five levels of depth: 5 words, 4 words, 3 words, 2 words, 1 word. Create concise summaries by deeply understanding the input and reframing the meaning at each depth level.","Analyze Text, Writing",text,"January 6, 2025 8:01 AM"
